央视,#genre#
CCTV1,http://150.138.8.143/00/SNM/CHANNEL00000311/index.m3u8
CCTV2,http://150.138.8.143/00/SNM/CHANNEL00000317/index.m3u8
CCTV3,http://150.138.8.143/00/SNM/CHANNEL00000359/index.m3u8
CCTV4,http://150.138.8.143/00/SNM/CHANNEL00000320/index.m3u8
CCTV5,http://150.138.8.143/00/SNM/CHANNEL00000360/index.m3u8
CCTV6,http://150.138.8.143/00/SNM/CHANNEL00000361/index.m3u8
CCTV7,http://150.138.8.143/00/SNM/CHANNEL00000318/index.m3u8
CCTV8,http://150.138.8.143/00/SNM/CHANNEL00000362/index.m3u8
CCTV9,http://150.138.8.143/00/SNM/CHANNEL00000319/index.m3u8
CCTV10,http://150.138.8.143/00/SNM/CHANNEL00000321/index.m3u8
CCTV11,http://150.138.8.143/00/SNM/CHANNEL00000344/index.m3u8
CCTV12,http://150.138.8.143/00/SNM/CHANNEL00000322/index.m3u8
CCTV13,http://150.138.8.143/00/SNM/CHANNEL00000345/index.m3u8
CCTV14,http://150.138.8.143/00/SNM/CHANNEL00000323/index.m3u8
CCTV15,http://150.138.8.143/00/SNM/CHANNEL00000346/index.m3u8
CCTV-5+,http://150.138.8.143/00/SNM/CHANNEL00000316/index.m3u8
CCTV17,http://150.138.8.143/00/SNM/CHANNEL00000303/index.m3u8
CGTN,http://150.138.8.143/00/SNM/CHANNEL00000352/index.m3u8
CGTN纪录,http://150.138.8.143/00/SNM/CHANNEL00000353/index.m3u8
中国交通,http://150.138.8.143/00/SNM/CHANNEL00000073/index.m3u8
卫视,#genre#
山东卫视,http://150.138.8.143/00/SNM/CHANNEL10000301/index.m3u8
山西卫视,http://150.138.8.143/00/SNM/CHANNEL00000032/index.m3u8
河南卫视,http://150.138.8.143/00/SNM/CHANNEL00000358/index.m3u8
安徽卫视,http://150.138.8.143/00/SNM/CHANNEL00000328/index.m3u8
江苏卫视,http://150.138.8.143/00/SNM/CHANNEL00000304/index.m3u8
浙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000305/index.m3u8
东方卫视,http://150.138.8.143/00/SNM/CHANNEL00000309/index.m3u8
北京卫视,http://150.138.8.143/00/SNM/CHANNEL00000302/index.m3u8
北京科教,http://150.138.8.143/00/SNM/CHANNEL00000332/index.m3u8
天津卫视,http://150.138.8.143/00/SNM/CHANNEL00000327/index.m3u8
河北卫视,http://150.138.8.143/00/SNM/CHANNEL00000330/index.m3u8
深圳卫视,http://150.138.8.143/00/SNM/CHANNEL00000308/index.m3u8
凤凰卫视,http://150.138.8.143/00/SNM/CHANNEL00000380/index.m3u8
大湾区卫视,http://150.138.8.143/00/SNM/CHANNEL00000670/index.m3u8
广东卫视,http://150.138.8.143/00/SNM/CHANNEL00000307/index.m3u8
